nu,trial,method,SHD,F1,TPR,FDR,NMI,ARI
30,0,TRACED,14.333333333333334,0.15,0.2916666666666667,0.8958333333333334,0.664116275047467,0.4808331994598026
30,1,Single DAG,25.333333333333332,0.20795454545454542,0.9166666666666666,0.880952380952381,0.0,0.0
30,1,Gaussian HMM,18.333333333333332,0.19999999999999998,0.6333333333333333,0.8740031897926634,0.8081192627125234,0.8533603163753678
30,1,TRACED,17.333333333333332,0.16885780885780888,0.48333333333333334,0.8882850241545893,0.7018047331905642,0.5729397427347062
30,2,Single DAG,26.666666666666668,0.1290322580645161,0.6666666666666666,0.9285714285714285,0.0,0.0
30,2,Gaussian HMM,20.333333333333332,0.16024374176548092,0.8888888888888888,0.9111111111111111,0.6233393094565884,0.6572739555431854
30,2,TRACED,19.666666666666668,0.14583333333333334,0.7777777777777777,0.9193411952032641,0.9558263208784171,0.9675287466726841
30,3,Single DAG,22.666666666666668,0.2598659003831418,0.8888888888888888,0.8461538461538461,0.0,0.0
30,3,Gaussian HMM,21.0,0.20082815734989648,0.5277777777777778,0.8748803827751196,0.8150686583449348,0.8497822242429592
30,3,TRACED,16.333333333333332,0.30128851540616247,0.8055555555555555,0.8138528138528138,0.7092143487789139,0.6110699291788897
30,4,Single DAG,16.333333333333332,0.33855072463768116,0.8888888888888888,0.7894736842105262,0.0,0.0
30,4,Gaussian HMM,13.333333333333334,0.3277777777777778,0.5833333333333334,0.7555555555555555,0.8066781659493492,0.8441129930660866
30,4,TRACED,14.0,0.23622413392234362,0.4166666666666667,0.8263841421736159,0.9932229714175222,0.9970015018359176
30,5,Single DAG,26.666666666666668,0.1485215053763441,1.0,0.9195402298850576,0.0,0.0
30,5,Gaussian HMM,23.333333333333332,0.16907407407407407,1.0,0.9071256038647343,0.7270906088702916,0.7654689229569727
30,5,TRACED,18.333333333333332,0.1277777777777778,0.611111111111111,0.9264957264957264,0.6451119338045461,0.44387289214987163
30,6,Single DAG,19.333333333333332,0.255175983436853,0.611111111111111,0.8333333333333334,0.0,0.0
30,6,Gaussian HMM,13.666666666666666,0.27979797979797977,0.5833333333333334,0.7945906432748537,0.8244112103186005,0.845091991574303
30,6,TRACED,14.666666666666666,0.17460317460317462,0.2916666666666667,0.875,0.9976006833367457,0.9989998331666945
30,7,Single DAG,25.666666666666668,0.1990079365079365,1.0,0.8850574712643678,0.0,0.0
30,7,Gaussian HMM,22.333333333333332,0.11716892876313163,0.5555555555555555,0.9265151515151516,0.7870034282367105,0.8368243851830984
30,7,TRACED,18.333333333333332,0.13872924648786716,0.611111111111111,0.9103174603174603,0.6406542510041928,0.4527634075123966
30,8,Single DAG,23.0,0.14814814814814814,0.6666666666666666,0.9166666666666666,0.0,0.0
30,8,Gaussian HMM,18.0,0.18396782470009013,0.7222222222222222,0.8944272445820434,0.5855050503563365,0.40563597153683056
30,8,TRACED,18.0,0.16970310391363022,0.611111111111111,0.900124598334317,0.6468131584537543,0.44786990485245964
30,9,Single DAG,21.666666666666668,0.1967846967846968,0.9166666666666666,0.8888888888888888,0.0,0.0
30,9,Gaussian HMM,14.0,0.1898148148148148,0.611111111111111,0.88507326007326,0.6923859138699573,0.7354028150535256
30,9,TRACED,17.333333333333332,0.10175438596491228,0.27777777777777773,0.9375,0.9976006833367457,0.9989998331666945
